店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
キラキラガールズ,梅田駅M14番出口,"34.70208801437416, 135.50425842691857",34.70208801437416,135.50425842691857,https://www.esthe-ranking.jp/osakakita/shop-detail/0e52467f-b3e2-4388-a5cd-a32bbcbed245/,http://pink-crystal.xin-yhki.online/,セブン-イレブン 梅田神山西店に着きましたら、ご連絡ください,090-5982-5198,11:00～LAST
Rose（ローズ）,梅田駅M6出口,"34.703112771048076, 135.50477483002174",34.703112771048076,135.50477483002174,https://www.esthe-ranking.jp/osakakita/shop-detail/1019cef6-02e5-460d-8233-93b65a993a8d/,http://relax-est.net/,梅田駅M6出口徒歩3分,090-8990-2231,12:00～翌 05:00
SexySpa（セクシースパ）,梅田駅,"34.702167, 135.501417",34.702167,135.501417,https://www.esthe-ranking.jp/osakakita/shop-detail/faf26abf-1d4e-46bf-8d21-055a0aa79078/,https://www.sexyspa184.info/,アクセス欄に緯度経度と住所あり,090-9116-6499,12:00～LAST
ちゅうちゅうエステ,梅田駅,"34.699277280843944, 135.50186062392552",34.699277280843944,135.50186062392552,https://www.esthe-ranking.jp/osakakita/shop-detail/2d8eee6b-912f-4f99-bbf4-d188a4b44e17/,https://www.chuchuest184.info/,アクセス欄に緯度経度と住所あり,090-2199-9692,24時間営業
ローズマリー,梅田駅泉の広場M10,大阪府大阪市北区堂山町4-4,,,https://www.esthe-ranking.jp/osakakita/shop-detail/f7f82eee-27e3-43fc-8afa-10e68a20e8ae/,http://www.roseume.com/,アクセス欄に住所あり,06-6363-7868,12:00～24:00
甜蜜の樂园,梅田駅泉の広場M14出口,大阪府大阪市北区兎我野町１３−２,,,https://www.esthe-ranking.jp/osakakita/shop-detail/820786b6-4767-4265-aff3-e49cc7788bd5/,http://ia.ssj-dx.cfd/,梅田駅泉の広場Ｍ14出口 に着きましたら、ご連絡ください。,080-4249-6499,24時間営業
Relaxationアジアン,東梅田駅8出口,大阪府大阪市北区梅田1丁目11-4 大阪駅前第4ビルB1F,,,https://www.esthe-ranking.jp/osakakita/shop-detail/077ce4bb-7748-4a0b-87ec-fe9762ab8a27/,http://www.la184.com/,東梅田駅8出口徒歩1分,06-6344-8818,11:00～23:00
甘いピーチ,梅田駅,"34.70065929102354, 135.50565691405",34.70065929102354,135.50565691405,https://www.esthe-ranking.jp/osakakita/shop-detail/c863538a-3912-41be-847e-ebf368d0f274/,https://peach2026.relaxya.jp/,梅田駅徒歩6分,070-4174-5134,11:00～翌 02:00
梅田快楽園,東梅田駅,大阪府大阪市北区兎我野町３丁目３−５,,,https://www.esthe-ranking.jp/osakakita/shop-detail/815cd837-ddd9-4177-9eb4-99acda2afbf1/,http://umedakai.refle.shop/,梅田プラザホテルの近くに着いたら、ご連絡ください,090-5989-5347,11:00～翌 03:00
美女ツボミ,梅田駅M14番出口,"34.701139, 135.502139",34.701139,135.502139,https://www.esthe-ranking.jp/osakakita/shop-detail/cec345ec-3528-42bf-ad04-34291855067b/,https://www.bjyotubom184.info/,大阪府大阪市北区太融寺町8-8 ローソン付近でお電話,070-8985-7229,11:00～翌 05:00
濡れパイン,梅田駅2番出口,■大阪府,,,https://www.esthe-ranking.jp/osakakita/shop-detail/9f9dc224-84ae-4c8d-88d9-baa5f617cf91/,https://www.nurepain184.info/,梅田駅2番出口,070-7670-4514,12:00～23:00
推しのバラ21,大阪梅田駅茶屋町口,■大阪府,,,https://www.esthe-ranking.jp/osakakita/shop-detail/de01477e-a509-491c-9efa-8a1e4c5c70bc/,https://www.osinobara184.info/,アクセス欄に住所あり,090-9983-0524,12:00～LAST
びしょ濡れ女王,梅田駅地下ホワイティーM14出口,■大阪府,,,https://www.esthe-ranking.jp/osakakita/shop-detail/4bed2397-bc23-40ab-b970-773f05ec2d84/,https://www.bsyojyo184.info/,アクセス欄に住所あり,090-3944-2696,12:00～翌 03:00
美人リラクゼーションエステ,天神橋筋六丁目駅13番口,天神橋筋六丁目駅,,,https://www.esthe-ranking.jp/tenma/shop-detail/9af86d2e-8ace-4317-b0db-8baef3f4172c/,http://beautiful-spa.menzu-lao.sbs/,地図の位置に着きましたら、ご連絡ください。,080-9718-4077,11:00～翌 02:00
スケスケガールズ,南森町駅,大阪府大阪市北区天神橋２丁目１−１４,,,https://www.esthe-ranking.jp/tenma/shop-detail/e40474f3-78b1-424d-a36e-4c6c01253e11/,https://www.sukegirl184.info/,アクセス欄に住所あり,080-3865-8866,12:00～LAST
ベッドできゅん,天満駅南出口,"34.70422123310611, 135.51097216173883",34.70422123310611,135.51097216173883,https://www.esthe-ranking.jp/tenma/shop-detail/395b4da4-2889-4868-bc0e-e41b3baeb7fc/,https://www.beddekyn184.info/,アクセス欄に緯度経度と住所あり,070-9121-3982,12:00～翌 01:00
ドキドキの恋,扇町駅・天神橋筋六丁目駅,大阪 扇町駅,,,https://www.esthe-ranking.jp/tenma/shop-detail/e0c6f158-fea6-4ebf-a6d1-c4c93e0e62af/,https://www.relaxsalon.xyz/dkdkk/,アクセス欄に住所あり,050-6882-7746,11:00～翌 02:00
誘惑の瞬間,扇町駅・天神橋筋六丁目駅,大阪扇町駅,,,https://www.esthe-ranking.jp/tenma/shop-detail/1eb71796-7be4-40e8-8c65-ab7da45f6c06/,https://www.relaxsalon.xyz/crbentzq/,アクセス欄に住所あり,050-6882-7957,11:00～LAST
せかいすぱ,天満駅,大阪府大阪市北区天神橋４丁目４−２３,,,https://www.esthe-ranking.jp/tenma/shop-detail/660b8801-3316-4a1a-b014-ed5f913c32d7/,http://worldwide.kaj-esute.asia/,大阪府大阪市北区天神橋４丁目４−２３ に着きましたら、ご連絡ください。,070-8512-9056,12:00～翌 03:00
プライベート空間,天神橋筋六丁目駅,天神橋筋六丁目駅,,,https://www.esthe-ranking.jp/tenma/shop-detail/d920ca77-775e-419c-b26f-8456d17829c7/,http://cxys.mensrelax.net/,アクセス欄に住所あり,050-6882-3750,11:00～翌 02:00
キュートな乙女だらけ,天満駅南出口,大阪府大阪市北区天神橋４丁目４−２０,,,https://www.esthe-ranking.jp/tenma/shop-detail/27e75e4d-429e-49c3-81e4-881ee1eddb2c/,http://maidens.xin-gbhi.online/,扇町駅1番出口,070-9176-8572,12:00～翌 02:00
リモート,扇町駅・天神橋筋六丁目駅・中崎町駅,扇町駅,,,https://www.esthe-ranking.jp/tenma/shop-detail/295a553a-ee39-47be-8890-4412b7b35718/,http://otsyrg.mensrelax.net/,アクセス欄に住所あり,050-6876-7486,11:00～翌 02:00
Love＆Peace（ラブ＆ピース）,天神橋筋六丁目13番出口,■大阪府,,,https://www.esthe-ranking.jp/tenma/shop-detail/f7c04ddb-278f-492c-a54c-42b9744efd5b/,https://www.lovepeace184.info/,天神橋筋六丁目13番出口,080-6246-5732,11:00～23:00
Lala Kiss（ララキス）,中崎町駅,■大阪府,,,https://www.esthe-ranking.jp/tenma/shop-detail/863c600e-c560-4a8d-8f28-f642c956e29e/,http://lalakiss.sh-goy.tokyo/,中崎町駅徒歩3分,080-9824-9314,11:00～翌 02:30
もりの風,扇町駅4番出口,■大阪府,,,https://www.esthe-ranking.jp/tenma/shop-detail/c5c6b22c-b74e-4ca1-a31d-1bcef61f0bf3/,https://www.morinokaze184.info/,扇町駅4番出口,06-6353-5636,11:00～翌 03:00
癒しの心,扇町駅4番出口,■大阪府,,,https://www.esthe-ranking.jp/tenma/shop-detail/f90c684d-24a8-4762-91b4-5b23d63cb12a/,http://massage-relax.red/,扇町駅4番出口徒歩0分,06-6352-7556,12:00～LAST
濡れ濡れParty,堺筋本町駅3番出口,"34.679194, 135.506944",34.679194,135.506944,https://www.esthe-ranking.jp/honmachi/shop-detail/a35f1f97-7eb8-4fef-b546-6b6168c2c809/,http://relax.sh-ksa.tokyo/,堺筋本町駅徒歩3分の完全個室。20代若い美女が集結!セクシー衣装、攻めディープリンパで本物のメンズエステ VIP 体感。面白いパーティーもあり、特別マット洗体サービスでお待ちしてます！高クオリティな可愛いスタッフ多数在籍、恋人のように疲れを癒します。,090-6603-3777,12:00～LAST
台北ガール（タイペイガール）,本町駅21番出口,本町駅,,,https://www.esthe-ranking.jp/honmachi/shop-detail/650f3858-81d0-418f-a122-12b86d9a466c/,http://taipeigirl.sh-hxd.tokyo/,ここに着きましたら、お電話ください。,070-5423-0507,11:00～翌 02:00
Honey milk（ハニーミルク）,堺筋本町駅5番出口,堺筋本町駅,,,https://www.esthe-ranking.jp/honmachi/shop-detail/ad9153f8-7e57-4432-8e74-4a06d7f0b32b/,http://honey-milk.idk-esute.asia/,堺筋本町駅の5番出口につきましたら、ご連絡ください,080-7811-7145,11:00～LAST
濡れ濡れガール,堺筋本町駅3番出口,堺筋本町駅,,,https://www.esthe-ranking.jp/honmachi/shop-detail/af7c96fc-5f1c-4198-ba4e-1c521db630c8/,http://sweet.sh-ssb.tokyo/,ここに着きましたら、お電話ください。,080-7500-5360,11:00～翌 03:00
桃色サプライズ,堺筋本町駅3番出口,大阪府大阪市中央区北久宝寺町1丁目4-2,,,https://www.esthe-ranking.jp/honmachi/shop-detail/01f681dc-24c7-4e12-a4c9-2421cc4c30e8/,https://www.momoirosapurai184.info/,堺筋本町駅3番出口徒歩3分,090-7942-4294,12:00～LAST
夜の誘惑,九条駅出口6,大阪府大阪市西区本田2丁目8-7,,,https://www.esthe-ranking.jp/honmachi/shop-detail/564e28d7-16f2-421d-a51f-39abaab62893/,http://www.yoruyuwaku.masg.info/,九条駅出口6徒歩4分,050-6882-3229,11:00～翌 02:00
ニューフェイス,本町駅28番出口,本町駅,,,https://www.esthe-ranking.jp/honmachi/shop-detail/5c4e82e5-6490-4412-906a-1c11bf61cbec/,http://new-face.menzu-jdm.sbs/,本町駅28番出口に着きましたらご連絡ください。,090-5804-0176,11:00～LAST
パープルタイム,堺筋本町駅3番出口,大阪府大阪市中央区久太郎町1丁目6-29,,,https://www.esthe-ranking.jp/honmachi/shop-detail/e77e1be5-cc4e-4c23-9b6a-adb9457351a1/,https://www.pupr184.info/,堺筋本町駅3番出口,080-4024-2248,11:00～翌 01:00
スィートヒーリング,堺筋本町駅7番出口,大阪府大阪市中央区南久宝寺町1-10,,,https://www.esthe-ranking.jp/honmachi/shop-detail/376096a7-a20a-4285-b312-8bda9f310108/,https://www.sweethealing184.info/,堺筋本町駅7番出口,070-8380-8512,10:00～翌 03:00
SugarBaby（しゅがーべいびー）,堺筋本町駅3番出口,大阪府大阪市中央区久太郎町1-6-26,,,https://www.esthe-ranking.jp/honmachi/shop-detail/92fa1965-3203-4e07-9570-9620b48940ef/,https://www.sugarbaby184.info/,堺筋本町駅3番出口,070-4172-6628,12:00～LAST
Your Room（ユアルーム）,堺筋本町駅3号出口,大阪市中央区久太郎町１丁目,,,https://www.esthe-ranking.jp/honmachi/shop-detail/159779c1-5c64-4782-a855-9dc5e8a06e16/,http://yourroom-osaka.com/,徒歩１分 ご案内いたします。,090-9256-9198,12:00～翌 01:30
Mar（マール）,堺筋本町駅3号出口,堺筋本町駅,,,https://www.esthe-ranking.jp/honmachi/shop-detail/b4d5dfce-5da7-4ca4-903a-b396d5bfacfc/,http://esalon-mar.com/,アクセス欄に住所あり,080-5764-8382,12:00～LAST
ラブ＆ピーチ,堺筋本町駅12番出口,■大阪府,,,https://www.esthe-ranking.jp/honmachi/shop-detail/f27c08f0-96d9-4aac-9b2d-c73ec9dc9c54/,https://www.lovepeach184.info/,堺筋本町駅12番出口,080-4486-7239,11:00～翌 02:00
プールサイド,堺筋本町駅10番出口,■大阪府,,,https://www.esthe-ranking.jp/honmachi/shop-detail/ab1871f9-640f-455e-8930-b065f54e4400/,http://sh-poolside.hfmi16.xyz/,堺筋本町駅10番出口徒歩2分,070-4448-9294,11:00～翌 02:00
ねこ娘,堺筋本町駅12番出口,■大阪府,,,https://www.esthe-ranking.jp/honmachi/shop-detail/76d51fb5-1937-4c86-bf51-c3b453e386c8/,https://www.nekomusum184.info/,堺筋本町駅12番出口,090-9984-6686,11:00～翌 02:00
CARNET（カルネ）,堺筋本町駅6番出口,■大阪府,,,https://www.esthe-ranking.jp/honmachi/shop-detail/e7149b3b-d5a3-4c58-87ac-b8f07245923c/,https://www.carnethonma184.info/,堺筋本町駅6番出口,090-6889-7284,11:00～LAST
ジャスミン,堺筋本町駅13番出口,■大阪府,,,https://www.esthe-ranking.jp/honmachi/shop-detail/9b247af3-ea8e-499c-9f42-96aabd57a108/,https://www.jasmin184.info/,堺筋本町駅13番出口,090-9888-5666,12:00～翌 05:00
瑠璃癒（るりいやし）,堺筋本町駅3番出口,■大阪府,,,https://www.esthe-ranking.jp/honmachi/shop-detail/d3fa6f85-945b-41ac-b2aa-ecf132325f7b/,https://shop2.es-johokan.com/ruriiyashi/,堺筋本町駅3番出口,090-8713-8571,11:00～翌 02:00
癒しラボ,長堀橋駅6番出口,"34.672111, 135.508167",34.672111,135.508167,https://www.esthe-ranking.jp/shinsaibashi/shop-detail/7484b78c-8360-4dfa-88ba-dad1370e8be2/,https://www.184labo.info/,長堀橋駅6番出口徒歩3分,070-2284-3377,12:00～24:00
ForeverLove（フォーエバーラブ）,長堀橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/shinsaibashi/shop-detail/4497564e-bbab-4844-99a6-dc73cb0c3e24/,https://www.foreverlove184.info/,長堀橋駅7番出口,080-9527-6896,12:00～翌 05:00
